frame.time_epoch;ip.proto;ip.src;ip.dst;tcp.srcport;tcp.dstport;tcp.flags
1603192205.679418000;6;1.1.2.3;5.6.7.8;50078;80;0x00000002
1603192205.679695000;6;5.6.7.8;1.1.2.3;80;50078;0x00000012
1603192205.679735000;6;1.1.2.3;5.6.7.8;50078;80;0x00000010
1603192205.679812000;6;1.1.2.3;5.6.7.8;50078;80;0x00000018
1603192205.680041000;6;5.6.7.8;1.1.2.3;80;50078;0x00000010
1603192205.680346000;6;5.6.7.8;1.1.2.3;80;50078;0x00000010
1603192205.680357000;6;1.1.2.3;5.6.7.8;50078;80;0x00000010
1603192205.680396000;6;5.6.7.8;1.1.2.3;80;50078;0x00000010
1603192205.680412000;6;1.1.2.3;5.6.7.8;50078;80;0x00000010
1603192205.680445000;6;5.6.7.8;1.1.2.3;80;50078;0x00000018
1603192205.680456000;6;1.1.2.3;5.6.7.8;50078;80;0x00000010
1603192205.681548000;6;1.1.2.3;5.6.7.8;50078;80;0x00000011
1603192205.681994000;6;5.6.7.8;1.1.2.3;80;50078;0x00000011
1603192205.682015000;6;1.1.2.3;5.6.7.8;50078;80;0x00000010
1603192206.682083000;6;1.1.2.3;5.6.7.8;50080;80;0x00000002
1603192206.682409000;6;5.6.7.8;1.1.2.3;80;50080;0x00000012
1603192206.682458000;6;1.1.2.3;5.6.7.8;50080;80;0x00000010
1603192206.682551000;6;1.1.2.3;5.6.7.8;50080;80;0x00000018
1603192206.682809000;6;5.6.7.8;1.1.2.3;80;50080;0x00000010
1603192206.683162000;6;5.6.7.8;1.1.2.3;80;50080;0x00000010
1603192206.683183000;6;1.1.2.3;5.6.7.8;50080;80;0x00000010
1603192206.683209000;6;5.6.7.8;1.1.2.3;80;50080;0x00000018
1603192206.683224000;6;1.1.2.3;5.6.7.8;50080;80;0x00000010
1603192206.684271000;6;1.1.2.3;5.6.7.8;50080;80;0x00000011
1603192206.684807000;6;5.6.7.8;1.1.2.3;80;50080;0x00000011
1603192206.684833000;6;1.1.2.3;5.6.7.8;50080;80;0x00000010
1603192207.684396000;6;1.1.2.3;5.6.7.8;50082;80;0x00000002
1603192207.684626000;6;5.6.7.8;1.1.2.3;80;50082;0x00000012
1603192207.684667000;6;1.1.2.3;5.6.7.8;50082;80;0x00000010
1603192207.684745000;6;1.1.2.3;5.6.7.8;50082;80;0x00000018
1603192207.684924000;6;5.6.7.8;1.1.2.3;80;50082;0x00000010
1603192207.685223000;6;5.6.7.8;1.1.2.3;80;50082;0x00000010
1603192207.685232000;6;1.1.2.3;5.6.7.8;50082;80;0x00000010
1603192207.685282000;6;5.6.7.8;1.1.2.3;80;50082;0x00000010
1603192207.685295000;6;1.1.2.3;5.6.7.8;50082;80;0x00000010
1603192207.685325000;6;5.6.7.8;1.1.2.3;80;50082;0x00000018
1603192207.685339000;6;1.1.2.3;5.6.7.8;50082;80;0x00000010
1603192207.686396000;6;1.1.2.3;5.6.7.8;50082;80;0x00000011
1603192207.686877000;6;5.6.7.8;1.1.2.3;80;50082;0x00000011
1603192207.686901000;6;1.1.2.3;5.6.7.8;50082;80;0x00000010
1603192208.687050000;6;1.1.2.3;5.6.7.8;50084;80;0x00000002
1603192208.687298000;6;5.6.7.8;1.1.2.3;80;50084;0x00000012
1603192208.687340000;6;1.1.2.3;5.6.7.8;50084;80;0x00000010
1603192208.687416000;6;1.1.2.3;5.6.7.8;50084;80;0x00000018
1603192208.687593000;6;5.6.7.8;1.1.2.3;80;50084;0x00000010
1603192208.687941000;6;5.6.7.8;1.1.2.3;80;50084;0x00000010
1603192208.687951000;6;1.1.2.3;5.6.7.8;50084;80;0x00000010
1603192208.687999000;6;5.6.7.8;1.1.2.3;80;50084;0x00000010
1603192208.688013000;6;1.1.2.3;5.6.7.8;50084;80;0x00000010
